MARKET,TYPE,BRAND,MODEL,Sage Code,DESCRIPTION,SAMSUNG CODE,Color / SIM
WHOLE SALE,MOBILE,SAM Lat,A015 2+32GB,A015-SM-BL32DL,SM-A015MZBETPA (A01) BLUE 32G,SM-A015MZBETPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+32GB,A015-SM-BK32DL,SM-A015MZKETPA (A01) BLACK 32,SM-A015MZKETPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A015 2+32GB,A015-SM-RD32DL,SM-A015MZRETPA (A01) RED 32GB,SM-A015MZRETPA,RED / SS
WHOLE SALE,MOBILE,SAM Lat,A013 1+16GB,A013-SM-BL16DL,SM-A013MZBDTPA (A103) BLUE 16G,SM-A013MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A013 1+16GB,A013-SM-BK16DL,SM-A013MZKDTPA (A103) BLACK 16,SM-A013MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A013 1+16GB,A013-SM-RD16DL,SM-A013MZRDTPA (A103) RED 16GB,SM-A013MZRDTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A013 32GB,A013-SP-BK32DL,,,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3+32GB,A022-SM-BK32DL,,,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3+32GB,A022-SM-RD32DL,,,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3+32GB,A022-SM-BL32DL,,,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3 + 64GB,A022-SM-RD64DL,SM-A022MZRWTPA (A022) Red,SM-A022MZRWTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3 + 64GB,A022-SM-BK64DL,SM-A022MZKWTPA (A022) Black,SM-A022MZKWTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A022 3 + 64GB,A022-SM-BL64DL,SM-A022MZBWTPA (A022) Blue,SM-A022MZBWTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SM-BL64DL,"SM-A025MZBFTPA (A025) Blue 4,6",SM-A025MZBFTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SM-BK64DL,"SM-A025MZKFTPA (A025) Black 4,",SM-A025MZKFTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SM-RD64DL,"SM-A025MZRFTPA (A025) Red 4,64",SM-A025MZRFTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A025 4+64GB,A025-SP-BK64DL,,SM-A025MZKFGTO,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-BL64DL,"SM-A125MZBGTPA (A125) Blue 4,6",SM-A125MZBGTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-BK64DL,"SM-A125MZKGTPA (A125) Black 4,",SM-A125MZKGTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-RD64DL,"SM-A125MZRGTPA (A125) Red 4,64",SM-A125MZRGTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SM-WT64DL,"SM-A125MZWGTPA (A125) White 4,",SM-A125MZWGTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A125 4+64GB,A125-SP-BK64DL,,SM-A125MZKGGTO,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-BL32DL,"SM-A115MZBDTPA (A115) Blue 2,3",SM-A115MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-BK32DL,"SM-A115MZKDTPA (A115) Black 2,",SM-A115MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-WT32DL,"SM-A115MZWDTPA (A115) White 2,",SM-A115MZWDTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-WT32SL,SM-A115MZWATPA (A115) White,SM-A115MZWATPA,WHITE / SS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-BK32SL,SM-A115MZKATPA (A115) Black,SM-A115MZKATPA,BLACK / SS
WHOLE SALE,MOBILE,SAM Lat,A115 2+32GB,A115-SM-BL32SL,SM-A115MZBATPA (A115) BLUE,SM-A115MZBATPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,A115 3 + 64GB,A115-SM-BL64DL,SM-A115MZBGTPA (A115) Blue 64 GB,SM-A115MZBGTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A115 3 + 64GB,A115-SM-BK64DL,SM-A115MZKGTPA (A115) Black 64 GB,SM-A115MZKGTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A115 3 + 64GB,A115-SM-WT64DL,SM-A115MZWGTPA (A115) WHITE 64 GB,SM-A115MZWGTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A207 3+32GB,A207-SM-BK32DL,SM-A207MZKDTPA (A20s) BLACK 32,SM-A207MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A207 3+32GB,A207-SM-BL32DL,SM-A207MZBDTPA (A20s) BLUE 32G,SM-A207MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A207 3+32GB,A207-SM-RD32DL,SM-A207MZRDTPA (A20s) RED 32GB,SM-A207MZRDTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,A207 3+32GB,A207-SM-BK32SL,SM-A207MZKATPA (A20s) BLACK 32,SM-A207MZKATPA,BLACK / SS
WHOLE SALE,MOBILE,SAM Lat,A207 3+32GB,A207-SM-BL32SL,SM-A207MZBATPA (A20s) BLUE 32G,SM-A207MZBATPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,A217 4+64GB,A217-SM-BK64DL,"SM-A217MZKKTPA (A217) Black 4,",SM-A217MZKKTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A217 4+64GB,A217-SM-WT64DL,"SM-A217MZWKTPA (A217) White 4,",SM-A217MZWKTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A217 4+64GB,A217-SM-BL64DL,"SM-A217MZBKTPA (A217) Blue 4,6",SM-A217MZBKTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A217 4+64GB,A217-SP-BK64DL,,SM-A217MZKKGTO,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+128GB,A315-SM-BL128DL,SM-A315GZBKTPA BLUE 128GB DS L,SM-A315GZBKTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+128GB,A315-SM-WT128DL,SM-A315GZWKTPA WHITE 128GB DS,SM-A315GZWKTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+128GB,A315-SM-BK128DL,SM-A315GZKKTPA BLACK 128GB DS,SM-A315GZKKTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+128GB,A315-SP-BK128DL,,SM-A315GZKKGTO,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+64GB,A315-SM-BL64DL,SM-A315GZBJTPA BLUE 64GB DS LA,SM-A315GZBJTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+64GB,A315-SM-BK64DL,SM-A315GZKJTPA BLACK 64GB DS L,SM-A315GZKJTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+64GB,A315-SM-WT64DL,SM-A315GZWJTPA WHITE 64GB DS L,SM-A315GZWJTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A315 4+64GB,A315-SP-BK64DL,,SM-A315GZKJGTO,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A325 4+128GB,A325-SM-VL128DL,SM-A325MLVKTPA (A325) Violet,SM-A325MLVKTPA,VIOLET / DS
WHOLE SALE,MOBILE,SAM Lat,A325 4+128GB,A325-SM-BL128DL,SM-A325MZBKTPA (A325) Blue,SM-A325MZBKTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A325 4+128GB,A325-SM-BK128DL,SM-A325MZKKTPA (A325) Black,SM-A325MZKKTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A325 4+128GB,A325-SM-WT128DL,SM-A325MZWKTPA (A325) White,SM-A325MZWKTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A505 64GB,A505-SM-BL64SL,,SM-A505GZBLTPA,BLUE
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SM-BK128DL,SM-A515FZKJTPA BLACK 128GB DS,SM-A515FZKJTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SM-WT128DL,SM-A515FZWJTPA WHITE 128GB DS,SM-A515FZWJTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SM-BL128DL,SM-A515FZBJTPA BLUE 128GB DS L,SM-A515FZBJTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SP-BK128DL,,SM-A515FZKJGTO,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SM-BL128SL,SM-A515FZBLTPA BLUE 128GB DS L,SM-A515FZBLTPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SM-WT128SL,SM-A515FZWLTPA WHITE 128GB DS L,SM-A515FZWLTPA,WHITE / SS
WHOLE SALE,MOBILE,SAM Lat,A515 4+128GB,A515-SM-BK128SL,SM-A515FZKLTPA BLACK 128GB DS,SM-A515FZKLTPA,BLACK / SS
WHOLE SALE,MOBILE,SAM Lat,A525 6 + 128GB,A525-SM-VL128DL,SM-A525MLVGTPA (A525) Voilet 128GB,SM-A525MLVGTPA,VIOLET / DS
WHOLE SALE,MOBILE,SAM Lat,A525 6 + 128GB,A525-SM-WT128DL,SM-A525MZWGTPA (A525) White 128GB,SM-A525MZWGTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,A525 6 + 128GB,A525-SM-BL128DL,SM-A525MZBGTPA (A525) Blue 128GB,SM-A525MZBGTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A525 6 + 128GB,A525-SM-BK128DL,SM-A525MZKGTPA (A525) Black 128GB,SM-A525MZKGTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A715 6+128GB,A715-SM-BK128DL,SM-A715FZKJTPA BLACK DS LATIN,SM-A715FZKJTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A715 6+128GB,A715-SM-BL128DL,SM-A715FZBJTPA BLUE 128GB DS L,SM-A715FZBJTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A715 6+128GB,A715-SM-SL128DL,SM-A715FZSJTPA SILVER 128GB DS,SM-A715FZSJTPA,SILVER / DS
WHOLE SALE,MOBILE,SAM Lat,A725 6+128GB,A725-SM-BK128DL,SM-A725MZKDTPA BLACK 128 GB,SM-A725MZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,A725 6+128GB,A725-SM-VL128DL,SM-A725MLVDTPA VOILET 128 GB,SM-A725MLVDTPA,VIOLET / DS
WHOLE SALE,MOBILE,SAM Lat,A725 6+128GB,A725-SM-BL128DL,SM-A725MZBDTPA BLUE 128 GB,SM-A725MZBDTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,A725 6+128GB,A725-SM-WT128DL,SM-A725MZWDTPA WHITE 128 GB,SM-A725MZWDTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,M022 32GB,M022-SM-BK32DL,SM-M022MZKDTPA BLACK 32 GB,,BLACK
WHOLE SALE,MOBILE,SAM Lat,M022 32GB,M022-SM-BL32DL,SM-M022MZBDTPA BLUE 32 GB,,BLUE
WHOLE SALE,MOBILE,SAM Lat,M022 32GB,M022-SM-RD32DL,SM-M022MZRDTPA RED 32 GB,,RED
WHOLE SALE,MOBILE,SAM Lat,M21S 4+64GB,F415-SM-BL64DL,SM-F415FZBBTPA (M21S) Blue 4+64 GB DS LATIN,SM-F415FZBBTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,M21S 4+64GB,F415-SM-BK64DL,SM-F415FZKBTPA (M21S) Black 4+64 GB DS LATIN,SM-F415FZKBTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,M31 6+64GB,M315-SM-BL64DL,SM-M315FZBJTPA (M31) Blue 6+64 GB DS LATIN,SM-M315FZBJTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,M31 6+64GB,M315-SM-BK64DL,SM-M315FZKJTPA (M31) Black 6+64 GB DS LATIN,SM-M315FZKJTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,M31 6+64GB,M315-SM-RD64DL,,SM-M315FZRJTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,M31 6+64GB,M315-SM-WT64DL,SM-M315FZRJTPA (M31) White 6+64 GB DS LATIN,SM-M315FZRJTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,M51 6+128GB,M515-SM-BK128DL,SM-M515FZKLTPA (M51) Black 6+128 GB DS LATIN,SM-M515FZKLTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,M51 6+128GB,M515-SM-WT128DL,SM-M515FZWLTPA (M51) White 6+128 GB DS LATIN,SM-M515FZWLTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,N960 6+128 GB SS,N9600-B2B-BLU,,SM-N9600ZBLTPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,N960 6+128 GB SS,N9600-SAM-BLU-N,,SM-N9600ZBLTPA,BLUE / SS
WHOLE SALE,MOBILE,SAM Lat,F700 8+256GB,F700-SM-BK256DL,SM-F700FZKDTPA Z Flip 8/256GB Dua,SM-F700FZKDTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,F700 8+256GB,F700-SM-PR256DL,SM-F700FZPDTPA Z Flip 8/256GB Dua,SM-F700FZPDTPA,PURPLE / DS
WHOLE SALE,MOBILE,SAM Lat,Note 10 Lite,N770-SM-BK128DL,SM-N770FZKJTPA (AuraBlack) DS,SM-N770FZKJTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,Note 10 Lite,N770-SM-RD128DL,SM-N770FZRJTPA (AuraRed) DS 12,SM-N770FZRJTPA,RED
WHOLE SALE,MOBILE,SAM Lat,Note 10 Lite,N770-SM-SL128DL,,SM-N770FZSJTPA,SILVER
WHOLE SALE,MOBILE,SAM Lat,S10 LITE - G770 6+128GB,G770-SM-BK128DL,SM-G770FZKJTPA (S10 LITE) BLAC,SM-G770FZKJTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,S10 LITE - G770 6+128GB,G770-SM-BL128DL,SM-G770FZBJTPA (S10 LITE) BLUE,SM-G770FZBJTPA,BLUE
WHOLE SALE,MOBILE,SAM Lat,S10 LITE - G770 6+128GB,G770-SM-WT128DL,SM-G770FZWJTPA (S10 LITE) WHIT,SM-G770FZWJTPA,WHITE
B2B,MOBILE,SAM Lat,S10 - G973 8+128GB,G973FD-B2B-BK-T,,SM-G973FZKJTTT,BLACK
WHOLE SALE,MOBILE,SAM Lat,S10 - G973 8+128GB,G973FD-SAM-BLK,,SM-G973FZKJTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,S10 - G973 8+128GB,G973FD-SAM-GRN,,SM-G973FZGJTPA,GREEN
WHOLE SALE,MOBILE,SAM Lat,S10 - G973 8+128GB,G973FD-SAM-WHT,,SM-G973FZWJTPA,WHITE
WHOLE SALE,MOBILE,SAM Lat,S10 - G973 8+128GB,G973FD-B2B-BLK,,SM-G973FZKJTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,Z FOLD 2 - F916 12+256GB,F916-SM-BR256DL,SM-F916BZNQTPA (Galaxy Fold 2),SM-F916BZNQTPA,GRAY / DS
WHOLE SALE,MOBILE,SAM Lat,Z FOLD 2 - F916 12+256GB,F916-SM-BK256DL,SM-F916BZKQTPA (Galaxy Fold 2,SM-F916BZKQTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,S20 - G980 8+128GB,G980-SM-BL128DL,SM-G980FLBJTPA (Blue) DS 128/8,SM-G980FLBJTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,S20 - G980 8+128GB,G980-SM-GR128DL,SM-G980FZAJTPA (Gray) DS 128/8,SM-G980FZAJTPA,GRAY / DS
WHOLE SALE,MOBILE,SAM Lat,S20 - G980 8+128GB,G980-SM-PK128DL,SM-G980FZIJTPA (Pink) DS 128/8,SM-G980FZIJTPA,PINK / DS
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 8+256GB,G780-SM-BL256DL,SM-G780FZBKTPA (S20 FE) Blue,SM-G780FZBKTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 8+256GB,G780-SAM-BL256D,SM-G780GZBKTPA (S20 FE) Blue New,SM-G780GZBKTPA,BLUE / DS
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 8+256GB,G780-SM-LV256DL,SM-G780FLVKTPA (S20 FE) Violet,SM-G780FLVKTPA,LAVENDER
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 8+256GB,G780-SM-RD256DL,SM-G780FZRKTPA (S20 FE) RED,SM-G780FZRKTPA,RED / DS
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 8+256GB,G780-SM-WT256DL,SM-G780FZWKTPA (S20 FE) WHITE,SM-G780FZWKTPA,WHITE / DS
ACCESSORY,ACCESSORY,SAM Lat,G780 - HANDS FREE,S20FE-HANDFREE,GP-OAU019SABBW (S20 FE) wirele,GP-OAU019SABBW,BLACK
WHOLE SALE,MOBILE,SAM Lat,S21 Ultra - G998 - 256GB,G998-SM-BK256DL,SM-G998BZKKTPA (S21 Ultra) Phanthom Black,SM-G998BZKKTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,S21 Ultra - G998 - 256GB,G998-SM-SL256DL,SM-G998BZSKTPA (S21 Ultra) Phanthom Silver,SM-G998BZSKTPA,SILVER / DS
WHOLE SALE,MOBILE,SAM Lat,S21+ - G996 - 256GB,G996-SM-BK256DL,SM-G996BZKKTPA (S21+) Phanthom Black,SM-G996BZKKTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,S21+ - G996 - 256GB,G996-SM-SL256DL,SM-G996BZSKTPA (S21+) Phanthom Silver,SM-G996BZSKTPA,SILVER / DS
WHOLE SALE,MOBILE,SAM Lat,S21+ - G996 - 256GB,G996-SM-VL256DL,SM-G996BZVKTPA (S21+) Phanthom Violent,SM-G996BZVKTPA,VILOT / DS
WHOLE SALE,MOBILE,SAM Lat,S21 - G991 - 128GB,G991-SM-GR128DL,SM-G991BZAJTPA (S21) Phanthom Gray,SM-G991BZAJTPA,GRAY / DS
WHOLE SALE,MOBILE,SAM Lat,S21 - G991 - 128GB,G991-SM-PK128DL,SM-G991BZIJTPA (S21) Phanthom Pink,SM-G991BZIJTPA,PINK / DS
WHOLE SALE,MOBILE,SAM Lat,S21 - G991 - 128GB,G991-SM-VL128DL,SM-G991BZVJTPA (S21) Phanthom Violet,SM-G991BZVJTPA,VILOT / DS
WHOLE SALE,MOBILE,SAM Lat,S21 - G991 - 128GB,G991-SM-WT128DL,SM-G991BZWJTPA (S21) Phanthom White,SM-G991BZWJTPA,WHITE / DS
WHOLE SALE,MOBILE,SAM Lat,Note 20 8+256GB,N980-SM-GR256DL,SM-N980FZAKTPA (Galaxy Canvas,SM-N980FZAKTPA,GRAY / DS
WHOLE SALE,MOBILE,SAM Lat,Note 20 8+256GB,N980-SM-GN256DL,SM-N980FZGKTPA (Galaxy Canvas,SM-N980FZGKTPA,GREEN / DS
WHOLE SALE,MOBILE,SAM Lat,Note 20 8+256GB,N980-SM-BR256DL,SM-N980FZNKTPA (Galaxy Canvas,SM-N980FZNKTPA,BROWN / DS
WHOLE SALE,MOBILE,SAM Lat,Note 20 Ultra - N985 8+256GB,N985-SM-BK256DL,SM-N985FZKKTPA DS BLACK 256GB TPA,SM-N985FZKKTPA,BLACK / DS
WHOLE SALE,MOBILE,SAM Lat,Note 20 Ultra - N985 8+256GB,N985-SM-BR256DL,SM-N985FZNKTPA (Galaxy Canvas 2) Bronze 256GB DS LATIN,SM-N985FZNKTPA,BROWN / DS
WHOLE SALE,MOBILE,SAM Lat,Note 20 Ultra - N985 8+256GB,N985-SM-WT256DL,SAM N985F (NOTE 20 ULTRA) DS WHITE 256GB TPA,SM-N985FZWKTPA,WHITE / DS
WHOLE SALE,TABLET,SAM Lat,T290 Wifi 2+32GB,T290-SM-BK32,"SM-T290NZKATPA WIFI 8.0"" 2+32G",SM-T290NZKATPA,BLACK
WHOLE SALE,TABLET,SAM Lat,T290 Wifi 2+32GB,T290-SM-SL32,"SM-T290NZSATPA WIFI 8.0"" 2+32G",SM-T290NZSATPA,SILVER
WHOLE SALE,TABLET,SAM Lat,T295 LTE 2+32GB,T295-SM-BK32,"SM-T295NZKATPA LTE 8.0"" 2+32GB",SM-T295NZKATPA,BLACK
WHOLE SALE,TABLET,SAM Lat,Tab A7 Lite T220N WIFI 3+32GB,T220-SM-GR32,SM-T220NZAATPA (GR) 32,SM-T220NZAATPA,GRAY
WHOLE SALE,TABLET,SAM Lat,Tab A7 Lite T225N LTE 3+32GB,T225-SM-GR32,SM-T225NZAATPA (GR) 32,SM-T225NZAATPA,GRAY
WHOLE SALE,TABLET,SAM Lat,T515 LTE 2+32GB,T515-SM-BK32LTE,"SM-T515NZKLTPA LTE 10.1"" 2+32G",SM-T515NZKLTPA,BLACK
WHOLE SALE,TABLET,SAM Lat,T510 2+32GB LTE,T510-SM-BK32WIF,,SM-T510NZKLTPA,BLACK
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS PRO R190,R190-S-BKBUDPRO,SM-R190NZKALTA BUDS PRO BLACK,SM-R190NZKALTA,BLACK
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS PRO R190,R190-S-SLBUDPRO,SM-R190NZSALTA BUDS PRO Silver,SM-R190NZSALTA,SILVER
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS PRO R190,R190-S-VLBUDPRO,SM-R190NZVALTA BUDS PRO Violet,SM-R190NZVALTA,VILOET
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS LIVE R180,R180-S-BKBUDLIV,SM-R180NZKALTA BUDS LIVE BLACK,SM-R180NZKALTA,BLACK
ACCESSORY,ACCESSORY,SAM Lat,SAM LATIN CHARGER,CHARGER,,,WHITE
ACCESSORY,ACCESSORY,SAM Lat,SAM Travel Adapter,CHARGER-SAM-BLK,,,BLACK
ACCESSORY,ACCESSORY,SAM Lat,STERILIZER,SAM- STERILIZER,,,Genaric
B2B,MOBILE,SAM Lat,A715 128GB TTT,A715-SM-BK128TT,SM-A715FZKJTTT 128GB BLACK DS TTT,SM-A715FZKJTTT,BLACK
B2B,MOBILE,SAM Lat,G991 S21 128GB TTT,G991-SM-GR128TT,SM-G991UZAATTA (S21) Phanthom Gray DS 128/8 GB TTA,SM-G991UZAATTA,GRAY
B2B,MOBILE,SAM Lat,N980 NOTE 20 256GB TTT,N980-SM-GR256TT,SM-N980FZAKTTT (Grey) DS 256 GB TTT (Note 20),SM-N980FZAKTTT,GRAY
B2B,MOBILE,SAM Lat,A42 128GB TTT,A42-SM-BK128TTA,SM-A426UZKBTTA (A42) Black 128GB TTA,SM-A426UZKBTTA,BLACK
WHOLE SALE,MOBILE,SAM Lat,A225 4 + 64GB,A225-SM-BK64DL,SM-A225MZKDTPA (A225) Black,SM-A225MZKDTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 128GB,G780-SAM-WT128D,SM-G780GZWJTPA (S20 FE) White 128GB DS LATIN,SM-G780GZWJTPA,WHITE
WHOLE SALE,MOBILE,SAM Lat,A225 4 + 128GB,A225-SM-BK128DL,SM-A225MZKGTPA (A225) BLACK 128 GB DS LATIN,SM-A225MZKGTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,A225 4 + 128GB,A225-SM-GN128DL,"SM-A225MLGGTPA (A225) GREEN 4,128 GB DS LATIN",SM-A225MLGGTPA,GREEN
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 128GB,G780-SAM-VL128D,SM-G780GLVJTPA (S20 FE) Violet 128GB DS LATIN,SM-G780GLVJTPA,VIOLET
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 128GB,G780-SAM-RD128D,SM-G780GZRJTPA (S20 FE) RED 128GB DS LATIN,SM-G780GZRJTPA,RED
WHOLE SALE,MOBILE,SAM Lat,A225 4 + 64GB,A225-SM-WT64DL,"SM-A225MZWDTPA (A225) WHITE 4,64 GB DS LATIN",SM-A225MZWDTPA,WHITE
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 128GB,G780-SAM-GN128D,SM-G780GZGJTPA (S20 FE) GREEN 128GB DS LATIN,SM-G780GZGJTPA,GREEN
WHOLE SALE,MOBILE,SAM Lat,S20 FE - G780 128GB,G780-SAM-BL128D,SM-G780GZBJTPA (S20 FE) BLUE 128GB DS LATIN,SM-G780GZBJTPA,BLUE
WHOLE SALE,MOBILE,SAM Lat,A225 4 + 128GB,A225-SM-WT128DL,"SM-A225MZWGTPA (A225) WHITE 6,128 GB DS LATIN",SM-A225MZWGTPA,WHITE
WHOLE SALE,MOBILE,SAM Lat,A127 4 + 64GB,A127-SM-WT64DL,"SM-A127MZWGTPA (A127) White 4,64 GB DS LATIN",SM-A127MZWGTPA,WHITE
WHOLE SALE,MOBILE,SAM Lat,A127 4 + 64GB,A127-SM-BL64DL,"SM-A127MZBGTPA (A127) Blue 4,64 GB DS LATIN",SM-A127MZBGTPA,BLUE
WHOLE SALE,MOBILE,SAM Lat,A127 4 + 64GB,A127-SM-BK64DL,"SM-A127MZKGTPA (A127) Black 4,64 GB DS LATIN",SM-A127MZKGTPA,BLACK
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS2 R177,R177-S-BUDS2LV,SM-R177NLVALTA Galaxy Buds2 Lavender,SM-R177NLVALTA,Lavender
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS2 R177,R177-S-BUDS2OL,SM-R177NZGALTA Galaxy Buds2 Olive,SM-R177NZGALTA,Olive
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS2 R177,R177-S-BUDS2GP,SM-R177NZKALTA Galaxy Buds2 Graphite,SM-R177NZKALTA,Graphite
ACCESSORY,ACCESSORY,SAM Lat,GALAXY BUDS2 R177,R177-S-BUDS2WT,SM-R177NZWALTA Galaxy Buds2 White,SM-R177NZWALTA,White
WHOLE SALE,MOBILE,SAM Lat,A037 4 + 64GB,A037-SM-BK64DL,SM-A037MZKGTPA (A037) Black 4+64 GB DS LATIN,SM-A037MZKGTPA,BLACK
WHOLE SALE,MOBILE,SAM Lat,A037 4 + 32GB,A037-SM-BL32DL,SM-A037MZBDTPA (A037) Blue 3+32 GB DS LATIN,SM-A037MZBDTPA,BLUE
WHOLE SALE,MOBILE,SAM Lat,A037 4 + 64GB,A037-SM-RD64DL,SM-A037MZRGTPA (A037) RED 4+64GB DS LATIN,SM-A037MZRGTPA,RED
WHOLE SALE,MOBILE,SAM Lat,A037 4 + 64GB,A037-SM-BL64DL,SM-A037MZBGTPA (A037) Bue 4+64 GB DS LATIN,SM-A037MZBGTPA,BLUE
